,Hotels,Prices,Descriptions,Full_Descriptions
374,Inside Barcelona Apartments Princep,"€ 1,578",4 single beds,"Vivo Barcelona Apartments Jordi offers modern and good value for money accommodation. The apartments are located in a quiet street, close to Plaza España.

It offers well-appointed apartments with full kitchens and air conditioning. There is free WiFi, Smart TV, washing machine and dishwasher. The building has been completely renovated in September 2021.

The accommodations are spacious and have a kitchen, bathroom and living-dining area. Here you can relax after a long day of sightseeing and prepare your own meals.

The apartments are located in a well-connected area of the city, Plaza España and the Fira fairgrounds are between 2 and 10 minutes' walk away. A little further afield, you can find the Montjuïc mountain, which houses the National Art Museum of Catalonia and the Miró Foundation.

Our clients say that this part of Barcelona is their favourite, based on independent reviews.

Vivo Barcelona Apartments Jordi has been receiving Booking.com clients since 14 Oct 2008."
375,Hotel El Palace Barcelona,"€ 3,116",1 large double bed,"Hotel El Palace Barcelona is located in Eixample District, close to the Ramblas, the main shopping area and Barcelona’s main tourist attractions. It offers a Mayan-style luxury spa. A limousine service with a chauffeur is available on request.

Opened in 1919, this hotel features a neo-classical façade and stylish air-conditioned rooms with classic decor. Each room is spacious and comes with satellite TV, desk, minibar and a private bathroom with hairdryer, bathrobe and slippers.

There are 2 restaurants: L'Éclair, located at the hall, and the Winter Garden Restaurant, set at the Roof Terrace; guests can also enjoy a cocktail at the Bluesman Cocktail Bar.

Hotel El Palace Barcelona has a Mayan-style spa with a Temazcal Sauna. Other facilities at this hotel include both fitness and business center and an outdoor pool.

Third person sharing in room is available for Superior room, Junior Suite and Superior Suite.

Staff at Hotel El Palace Barcelona can provide information about the area. Passeig de Gràcia Metro and Railway Station as well as Urquinaona Metro station are less than 5 minutes’ walk of the hotel.

Gaudí’s Casa Batlló and La Pedrera are approximately 15 minutes’ walk away."
376,Arc La Rambla,"€ 1,472",Beds: 1 double or 2 singles,"The Arc La Rambla has an ideal location on Las Ramblas, 100 metres from Drassanes Metro Station. It offers rooms with free WiFi.

The hotel is a 5-minute walk from the city’s port. Plaça Catalunya and the Gothic Quarter are 10 minutes' walk of the hotel.

All air-conditioned rooms at the Arc la Rambla feature simple décor. Each has satellite TV and a private bathroom.

The Arc La Rambla also has a ticket service and bicycle and car rental are possible on site. Lockers are available to rent.

A daily continental breakfast is served in the Ramblas’ dining room. The hotel is within 10 minutes’ walk of a selection of cafés, bars and restaurants in Barcelona’s old town."
377,El Avenida Palace,"€ 1,844",Beds: 1 double or 2 singles,"El Avenida Palace Hotel is set on Barcelona’s Gran Via, 5 minutes’ walk from Plaza Catalunya, La Rambla and Paseo de Gracia. Its grand interior features an impressive staircase and marble columns.

Many famous guests have stayed at the Hotel Avenida Palace, including the Beatles in 1965.

The elegant air-conditioned rooms feature satellite TV and carpeted or parquet floors. Rooms are soundproofed and have a minibar, work desk and a safe.

The hotel's panoramic rooftop terrace offers views over the city, a sun deck and a swimming pool. There is also a lounge bar, a 24-hour front desk and both free WiFi and room service are available."
378,Chi,"€ 1,570",Beds: 1 double or 2 singles,"Located in Barcelona’s Eixample District, beside Rocafort Metro Station and 15 minutes’ walk from Plaza Catalunya,  Chi Hotel offers rooms with air-conditioning and heating (depending on the season) and free WiFi.

The modern rooms include a flat-screen TV, minibar, safe and a private bathroom with free toiletries and a hairdryer.

There is a 24-hour front desk at the property. Staff can help with tourist information and car hire.

You will find many shops, restaurants and bars in the surrounding area."
379,Fisa Rentals Ramblas Apartments,"€ 1,620",1 double bed,"Fisa Rentals Ramblas Apartments is located in central Barcelona, just 250 metres from Plaza Catalunya and the Ramblas. It offers stylish, air-conditioned apartments with free Wi-Fi and flat-screen satellite TV.

The Fisa Rentals apartments feature parquet floors and modern décor. Each one comes with a DVD player, and the kitchen includes a hob, microwave, washing machine and dishwasher.

Gaudí’s Casa Batlló and La Pedrera are about 15 minutes’ walk from the apartments. La Boquería Market and the spectacular Palau de la Música Catalana are within a 10-minute walk. Airport buses leave from Plaza Catalunya."
380,Hotel Acta Azul Barcelona,"€ 1,346",1 large double bed,"Set just off Plaça d’Espanya and at the foot of Montjuïc, Hotel Acta Azul Barcelona offers stylish accommodation in central Barcelona. It features a roof terrace, 24-hour reception and free Wi-Fi.

Las Ramblas and the city’s Gothic Quarter can be reached in less than 10 minutes, by Metro and here you will find where a selection of bars and restaurants.

Each of the Azul’s spacious rooms has bright décor and wooden flooring. All rooms have air conditioning, satellite TV and a desk.

The hotel is a 5-minute walk from Barcelona’s Fira Conference Centre and Plaça d’Espanya’s Magic Fountains. Montjuïc Park and the MNAC Gallery are within 1 km of the hotel. The bullring-turned-shopping centre of Las Arenas is next door."
381,Hostel Friends Barcelona,€ 889,2 single beds,"Hostel Friends Barcelona is located on the well-known Gran Vía Avenue in Barcelona, 500 metres from Plaza Espanya Square. Free WiFi access is available and 24-hour reception is featured.

This guest house offers free services like luggage storage and safe box.

Rooms at Friends Barcelona have heating, a fan and a small fridge, as well as a hairdryer. Some rooms have a private bathroom, a balcony and a flat-screen TV, while others have a shared bathroom and a TV. Bed linen and towels are included.

The area has very good public transport links. Rocafort metro station is only a minute on foot. Sagrada Familia Temple is 20 minutes by metro."
382,La Casa de Antonio Boutique Rooms,"€ 1,246",1 double bed,"Featuring free WiFi, La Casa de Antonio Boutique Rooms is located in Barcelona. This guest house is set a 7-minute walk from Plaza Catalunya and 94 metres from Universitat Metro Station.

This guest house has a Modernist décor and offers air-conditioned rooms in the centre of Barcelona. Each room comes with a flat-screen TV with satellite channels and tiled floors, and the private bathroom includes a bath or shower, hairdryer, and free toiletries.

There is a tour desk available to all guests, and the property can arrange a shuttle to the airport for an extra charge.

You can find several restaurants, bars, and a grocery shop within a 5-minute walk of La Casa de Antonio Boutique Rooms. Plaza Espanya and the famous Montjuic Fountain are 2 metro stops from the property, and Gaudi’s Sagrada Familia is 2.7 km away."
383,Cosmo Apartments Passeig de Gràcia,"€ 1,455","2 beds (1 sofa bed, 1 large double)","Cosmo Apartments Passeig de Gràcia is located in central Barcelona, 50 metres from the well-know Passeig de Gràcia Avenue. Casa Batlló and La Pedrera Modernist buildings are 5 minutes’ walk away.

The stylish and bright apartments at Cosmo Apartments Passeig de Gràcia can have 1 to 3 bedrooms, and duplex apartments with terrace are also available.

Featuring modern décor, all air-conditioned apartments are equipped with an open-plan kitchen with ceramic hob, microwave, dishwasher and kitchenware. There is also a living room with a 32-inch flat-screen TV and sofa bed.

Cosmo Apartments Passeig de Gràcia is well communicated to the city’s main tourist places, having the metro station 300 metres away.  Passeig de Gràcia is known for being the most important shopping street in Barcelona. Airport buses leave from Plaza Catalunya, located just 10 minutes' walk away."
384,Rent Top Apartments Rambla Catalunya,"€ 1,887","2 beds (1 sofa bed, 1 large double)","Featuring free WiFi and air conditioning, Rent Top Apartments Rambla Catalunya 8 is located in Barcelona, 200 metres from Plaça Catalunya. Portal de l'Angel is 500 metres from the property.

The accommodation has a seating area. Some units feature a dining area and/or terrace. There is also a kitchen, equipped with a dishwasher. An oven, a toaster and refrigerator are also offered, as well as a coffee machine and a kettle.

Casa Batllo is 500 metres from Rambla Catalunya 8. The nearest airport is Barcelona El Prat Airport, 13 km from the property."
385,Hotel SB Icaria,"€ 1,085",Beds: 1 double or 2 singles,"Located 300 metres from Barcelona’s Nova Icaria Beach, Hotel SB Icaria offers a gym, sauna and outdoor pool with sun terrace and hot tub. Rooms include free Wi-Fi and flat-screen satellite TV.

The Hotel SB Icaria’s stylish modern rooms feature wooden floors and adjustable lighting. Each room has a minibar, safe and private bathroom with a hairdryer.

The hotel’s elegant restaurant serves Mediterranean market cuisine. There is also a bar and a garden terrace.

Hotel SB Icaria is located in the Olympic Port area, a 10-minute walk from Ciutadella Park and Barcelona Zoo. Ciutadella Metro Station is 800 metres away, and is just 2 stops from Barcelona Cathedral and the historic Gothic Quarter."
386,Hotel Condal,"€ 1,424",2 single beds,"Set 50 metres from Las Ramblas and Liceu Metro Station, Hotel Condal offers rooms with free WiFi and private bathrooms. Opened in 1850, this hotel in Barcelona’s Gothic Quarter offers air conditioned or heated accommodation, depending on the season.

The Condal’s rooms have simple décor with tiled floors. Each room has a flat-screen TV.

A continental breakfast is served in Hotel Condal’s café-bar. There is a varied selection of restaurants in the streets surrounding the hotel.

Staff at the 24-hour reception can provide information on Barcelona’s many attractions, including the MACBA Museum and Barcelona Cathedral, which can be reached in 10 minutes by foot. The Condal is less than 1 km from Port Vell Marina."
387,"Labtwentytwo Barcelona, a Tribute Portfolio Hotel","€ 1,856",2 single beds,"Labtwentytwo Barcelona, a Tribute Portfolio Hotel features an outdoor swimming pool, fitness centre, a terrace and restaurant in Barcelona. This 4-star hotel features free WiFi and a bar. Certain units at the property feature a balcony with a city view.

The hotel will provide guests with air-conditioned rooms with a desk, a kettle, a minibar, a safety deposit box, a flat-screen TV and a private bathroom with a shower. At Labtwentytwo Barcelona, a Tribute Portfolio Hotel every room includes bed linen and towels.

Breakfast is available every morning, and includes buffet, à la carte and continental options.

Speaking German, English, Spanish and French, staff will be happy to provide guests with practical information on the area at the reception.

Nova Mar Bella Beach is 1.9 km from the accommodation, while Llevant is 2.1 km away. The nearest airport is Barcelona El Prat Airport, 17 km from Labtwentytwo Barcelona, a Tribute Portfolio Hotel."
388,Barcelona Fifteen central Aparthotel,"€ 1,205",3 single beds,"Located just 300 metres from Parallel Avenue and metro station, Barcelona Fifteen central Aparthotel offers modern, air-conditioned rooms with free Wi-Fi and flat-screen cable TV.

The stylish rooms include a private bathroom, coffee making facilities, and a breakfast bar. The property also has studios with a kitchenette.

The property has a rooftop terrace where you can relax. There is also a communal washing machine, drier and microwave, which guests can use for free.

There is a wide range of restaurants and bars in the surrounding area and Parallel’s many theatres are also near to the guest house.

Las Ramblas Avenue is a 5-minute walk away and Barcelona’s Port Vell just 12 minutes’ walk. Airport buses leave from Plaza Espanya and Plaza Catalunya, which are both 20 minutes’ walk from Barcelona Fifteen Luxury."
389,Exe Cristal Palace,"€ 1,445",Beds: 1 double or 2 singles,"The Exe Cristal Palace is very well located next to the prestigious Passeig de Gràcia, the main shopping area and most important places of interest in Barcelona. All rooms at the Exe Cristal Palace have air conditioning, a safe, satellite TV, a minibar, a desk and a private bathroom with a hairdryer and toiletries.

Exe Cristal Palace rooms have a safe and a minibar and feature wooden floors. There is a work desk, and the private bathroom comes with a hairdryer and amenities.

Exe Cristal Palace has a 24-hour front desk. You can hire a car from the tour desk, and on-site parking is available for an additional charge. The hotel serves a varied buffet breakfast, including a healthy corner option.

The buffet breakfast includes a wide variety of dishes and an area with juices and coffees.

The hotel is a 5-minute walk from Plaza Catalunya and Casa Batlló."
390,Feelathome Mozart Apartments,"€ 1,510","2 beds (1 extra-large double, 1 sofa bed)","Feelathome Mozart Apartments offers air-conditioned apartments located 5 minutes' walk from Barcelona's Diagonal Metro Station. Free WiFi is available and some apartments have a private terrace.

Each apartment features a seating area with a flat-screen TV and DVD player. There is a well-equipped kitchen, which includes a dishwasher and washing machine, and the private bathroom comes with a shower and hairdryer. Towels and bed linen are provided.

An airport shuttle service is available for an extra charge. Plaza Catalunya and La Rambla are a pleasant 20-minute stroll down the famous Passeig de Gracia Avenue, with its iconic buildings like La Pedrera and Casa Batlló."
391,RG House Barcelona,"€ 1,146",Managed by a private host,"In the centre of Barcelona, located within a short distance of Boqueria Market and Santa Maria del Mar, RG House Barcelona offers free WiFi, air conditioning and household amenities such as a dishwasher and coffee machine. It is set 2.7 km from Sant Miquel Beach and provides full-day security. The property is soundproof and is situated 2.7 km from Sant Sebastian Beach.

The spacious apartment is equipped with 1 bedroom, 1 bathroom, bed linen, towels, a flat-screen TV with streaming services, a dining area, a fully equipped kitchen, and a balcony with city views. A private entrance leads guests into the apartment, where they can enjoy some chocolates or cookies. This apartment is allergy-free and non-smoking.

There is a coffee shop on-site.

Popular points of interest near the apartment include Picasso Museum, Passeig de Gracia and Plaça Catalunya. The nearest airport is Barcelona El Prat Airport, 12 km from RG House Barcelona."
392,Hotel Nuevo Triunfo,€ 925,2 single beds,"Located beside Barcelona’s Montjuic Hill, Nuevo Triunfo is a 3-minute walk from Parallel Metro Station and 10 minutes from the Rambla. It offers a free Wi-Fi zone and 24-hour reception.

Featuring tiled floors and flat-screen satellite TV, air-conditioned rooms come with a seating area and work desk. The private bathroom is equipped with amenities.

A continental breakfast is available in the Hotel Nuevo Triunfo. There are vending machines for drinks.

Luggage storage is offered and you can hire a car from the tour desk.

Maremagnum Shopping Centre and the Marina are 15 minutes’ walk away. Barceloneta Beach is 10 minutes away by bus."
393,Hotel Market,"€ 1,454",Beds: 1 double or 2 singles,"Hotel Market is located next to Barcelona’s San Antonio Market, 10 minutes' walk from MACBA Gallery. Its chic rooms have rain showers and free Wi-Fi, and there is a popular restaurant.

The Market Hotel’s modern rooms have dark wood beams, white walls and large windows. Each one has a private bathroom. Some rooms have a balcony or terrace.

The hotel is 15 minutes’ walk from both Plaza Espanya and Plaza Catalunya. Sant Antoni Metro Station is about 200 metres away, and an airport shuttle bus stop can be found 2 minutes’ away.

The Market Hotel’s elegant restaurant offers a range of modern Catalan dishes, and specializes in rice."
394,Hostal Sans,€ 770,Beds: 1 double or 2 singles,"Set on Plaza de Sants, Hostal Sans is a 5-minute walk from Sants Railway Station and just over 1 km from Plaza de Espanya. It offers rooms with TVs, and a 24-hour reception.

Each simply decorated room at Hostal Sans has air conditioning and heating.

Free WiFi is available in public areas, where there are vending machines. Restaurants, bars and cafés can be found in the surrounding Sants district.

Las Ramblas and Barcelona’s Gothic Quarter can be reached in just 10 minutes by Metro. The nearest beaches are a 30-minute bus journey away."
395,Exe Laietana Palace,"€ 1,370",1 double bed,"Exe Laietana Palace is set in a refurbished neo-classical building on Barcelona’s Vía Laietana, beside the city’s old Roman wall. Rooms have flat-screen satellite TV and hydro-massage showers.

The elegant rooms have free Wi-Fi and air conditioning. Some feature views of the Roman wall, while others have a sloping glass roof. All have a safe and minibar, and the bathroom comes with a hairdryer.

A buffet breakfast is served from 7:30 until 10:30 and room service is available.

Barcelona Cathedral is 400 metres from the hotel, and the trendy Born district is a 5-minute walk away."
396,Seventy Barcelona,"€ 2,183",Beds: 1 double or 2 singles,"Seventy Barcelona has a shared lounge, terrace, a restaurant and bar in Barcelona. This 4-star hotel offers room service, a 24-hour front desk and free WiFi. Guests can use the spa and wellness centre with an indoor pool, fitness centre, and sauna, as well as an outdoor swimming pool.

At the hotel the rooms are fitted with air conditioning, a seating area, a flat-screen TV with satellite channels, a safety deposit box and a private bathroom with a shower, free toiletries and a hairdryer. At Seventy Barcelona the rooms include bed linen and towels.

The accommodation offers a hammam.

Popular points of interest near Seventy Barcelona include La Pedrera, Casa Batllo and Passeig de Gracia. The nearest airport is Barcelona El Prat Airport, 14 km from the hotel."
397,Central and Basic Solarium HOSTEL,€ 848,1 double bed,"A 5-minute walk from Las Ramblas and Drassanes Metro Station, Pensión Solárium is set in Barcelona’s Ciutat Vella district. It has a lounge and a small terrace, where free Wi-Fi is available.

Pensión Solárium has simple, modern décor. Its rooms have either private or shared bathroom facilities.

The Pensión is within 10 minutes’ walk of a range of cafes and bars. The Raval and nearby Gothic Quarter offer a selection of popular restaurants.

Barcelona’s old Port is 500 metres away, while the beaches around Barceloneta are a 20-minute bus journey from the Solárium. Airport buses leave from Plaza de Catalunya, 2 Metro stops from Drassanes Station."
398,Caledonian,"€ 1,570",1 double bed,"The Caledonian has an ideal setting on Barcelona's Gran Vía, just 5 minutes' walk from Plaza de Catalunya and Las Ramblas. Its rooms include free Wi-Fi internet access.

The air-conditioned rooms at the Caledonian feature simple, attractive décor with wooden floors. Each has a minibar and some rooms offer views of Gran Vía.

The hotel serves a daily buffet breakfast in its dining room. There is a good selection of restaurants within 10 minutes’ walk of the Caledonian.

Universitat Metro Station is just 100 metres from the hotel and connects guests to sights such as Gaudí’s La Perdrera and the Sagrada Familia within 15 minutes.

Guests can make use of services such as the 24-hour front desk and express check-in and check-out. The hotel also has luggage storage."
399,Ikonik Anglí,"€ 1,263",Beds: 1 double or 2 singles,"Situated in the charming residential district of Sarrià, this elegant design hotel offers an outdoor pool and garden area, overlooking Tibidabo Mountain. Free Wi-Fi is available.

The Ikonik Anglí’s spacious rooms have a minimalist design and large windows, which provide plenty of natural light. Each air-conditioned room includes a flat-screen TV and a modern bathroom with a range of amenities.

Guests can enjoy a daily breakfast in the Angli’s stylish breakfast room. The Sarrià district is known for its wonderful cake shops, and there are also many popular bars within a 5-minute walk. The hotel also offers meeting rooms for events.

Sarrià FGC Train Station is 600 metres from the Ikonik Anglí, and offers direct services to Barcelona city centre. Plaza Catalunya Square is just a 10-minute train ride away. The nearest airport is Barcelona Airport, 15 minutes drive away from the hotel."
400,Aspasios Rambla Catalunya Suites,"€ 1,866","2 beds (1 double, 1 sofa bed)","These chic apartments are set on Barcelona’s stylish Rambla de Catalunya, 150 metres from Passeig de Gracia Boulevard. There is free WiFi available throughout.

Apartments at Aspasios Rambla Catalunya Suites feature contemporary decor, a sofa bed, and plasma TV while kitchens have a dishwasher, washing machine, tumble drier and Nespresso coffee maker.

There are several bars, restaurants and shops within 5 minutes’ walk and Plaza Catalunya is 400 metres away.

Las Ramblas and the Gothic Quarter are 10 minutes’ walk away and Gaudí’s La Pedrera and Casa Batllo are within 5 minutes’ walk.

The Aspasios Rambla Catalunya apartments are 3 minutes’ walk from Passeig de Gracia Metro and Train Station, with direct trains to Barcelona El Prat Airport.

The pictures at the top of this page are a selection of the different apartments located in the Eixample area. Please select a date and click on the apartments to see the pictures of the individual apartments."
401,H10 Cubik 4* Sup,"€ 1,749",Beds: 1 double or 2 singles,"Featuring free WiFi throughout the property, H10 Cubik offers accommodation in Barcelona. The hotel has a seasonal outdoor pool and terrace, and guests can enjoy a drink at the bar.

Rooms come with a flat-screen TV. Some units include a seating area for your convenience. Every room comes with a private bathroom.

There is a 24-hour front desk at the property.

Sitges is 35 km from H10 Cubik, while Calella is 47 km from the property. The nearest airport is El Prat Airport, 13 km from the property."
402,Weflating Suites Sant Antoni Market,"€ 1,816","3 beds (2 singles, 1 large double)","Weflating Suites Sant Antoni Market is located in Barcelona, right next to Sant Antoni Market and 12 minutes' walk from the Ramblas. It offers modern, air-conditioned apartments with free WiFi.

The apartment will provide you with a balcony and a seating area. There is a full a kitchenette with a dishwasher and a microwave. Featuring a shower, private bathroom also comes with a hairdryer and free toiletries. You can enjoy city view from the apartments.

There are many great bars and restaurants in the streets around the apartments, such as Carrer Parlament or Carrer Blai. Apolo Nightclub is also 8 minutes' walk away."
403,Evenia Rossello,"€ 1,201",Beds: 1 double or 2 singles,"Evenia Rossello is conveniently situated 5 minutes’ walk from the stylish Paseo de Gracia Boulevard and includes a gym. The modern rooms feature wooden floors and free internet connection.

The contemporary L'Illa del Rosselló restaurant serves Mediterranean cuisine. Guests can also enjoy tapas on the terrace, set in small gardens called Placeta Joan Brossa.

Evenia Rossello’s tour desk can provide useful information on the city and arrange car rental. A luggage storage service is also available.

Diagonal Metro Station is 400 metres away and offers direct access to Barcelona city centre. Barcelona Airport is 12 km away."
404,INNSiDE by Meliá Barcelona Apolo,"€ 1,694",Beds: 1 double or 2 singles,"INNSiDE by Meliá Barcelona Apolo is located at the foot of Montjuïc, 7 minutes’ walk from Barcelona’s Ramblas. It offers a 24-hour reception and air-conditioned rooms with WiFi.

Refurbished in 2017, the rooms at INNSiDE by Meliá Barcelona Apolo feature smart décor and wooden floors. Each one has a flat-screen TV, minibar, work desk and a private bathroom with a hairdryer.

The hotel serves a varied buffet breakfast every morning. There is also a snack bar serving light meals in the evenings.

Parallel Metro Station is next to the hotel, connecting you with the Fira Convention Centre in 2 stops."
405,Eric Vökel Boutique Apartments - Gran Vía Suites,"€ 1,795","3 beds (2 sofa beds, 1 large double)","Eric Vökel Gran Via Suites are boutique apartments set in central Barcelona, 10 minutes’ walk from Plaza de Espanya Square. These chic apartments offer free WiFi access.

Each air-conditioned apartment at Eric Vökel has attractive, contemporary décor. All accommodation has a well-equipped kitchenette and a spacious living area with a flat-screen TV.

There are several bars and cafés within 100 metres of the Suites. Set on Gran Via Avenue, the apartments have easy access to a range of supermarkets and shops.

The Vökel is just 20 minutes’ walk from Montjuïc Mountain and Catalunya’s National Art Museum. The famous Las Ramblas and the surrounding Gothic Quarter can be reached in 10 minutes, by Metro."
406,Ibis Barcelona Meridiana,€ 851,1 large double bed,"Located next to Fabra i Puig Station, Ibis Barcelona Meridiana is a 10-minute Metro journey from Plaza Catalunya. It offers a 24-hour bar and air-conditioned rooms with flat-screen satellite TV.

Barcelona Meridiana’s bar serves a wide range of snacks and drinks.

Hotel Ibis Barcelona Meridiana is set next to the Heron City Shopping Centre, where you can find restaurants, cinemas and a gym. Indoor public parking is available at an extra cost."
407,Hilton Diagonal Mar Barcelona,"€ 2,367",1 large double bed,"This hotel is next to Diagonal Mar Shopping Centre and just 400 metres from Nova Mar Bella Beach. It offers a seasonal outdoor pool, a fitness centre and air-conditioned rooms with a LED TV.

Hilton Diagonal Mar Barcelona's terrace, Purobeach Barcelona, has an outdoor pool and paddling pool available from April to October. All services on the Purobeach terrace, including Balinese beds, sunbeds and massages are available for an extra charge.

Purobeach Restaurant offers a diverse menu, as well as a variety of classic cocktails and international spirits. Aürt Restaurant serves Catalan food cooked in front of you. Guests can also enjoy tapas, snacks or drinks at Ma'i.

The hotel has 22 meeting rooms. Barcelona’s CCIB Convention Centre is located next door to the hotel. El Maresme-Forum Metro Station is 2 minutes’ walk away, and from here you can get to central Barcelona in around 15 minutes. Barcelona's El Prat Airport is 25 minutes' drive away."
408,Midtown Apartments,"€ 2,269",2 single beds,"Ideally located, 6 minutes’ walk from both Paseo de Gracia and central Plaza Catalunya, Midtown Apartments offers stylish, modern décor apartments with a seasonal pool and solarium in the building’s rooftop.

Set in the same building, all the soundproofed apartments have a smart TV in each bedroom and a living-dining room with a bluetooth speaker and a free safe. The kitchen is equipped with ceramic hobs, oven and dishwasher; there is a washing machine, a dryer and cleaning products are provided.

Numerous bars and restaurants serving local and international cuisine are within walking distance, and supermarkets open till late can be found nearby.

The apartments are also well connected by bus and metro to all main tourist attractions in Barcelona. A private parking is available on site."
409,Urbany Hostel BCN GO!,€ 982,1 double bed,"Featuring a rooftop terrace with jacuzzi, a fully equipped kitchen and computers with internet access, Urbany Hostel BCN GO! is set in the heart of Barcelona, just 200 metres from Plaza Universitat Square.

Both shared dorms and private rooms are available, all with air conditioning, free Wi-Fi and bed linen. Each bed has a locker, a reading light, bedside table, a USB charger and 2 plugs. Laundry facilities and towels are available for an extra cost.

Urbany Bar serves drinks and food and there are also vending machines for snacks. A wide range of dining options and bars can be found in the surrounding area.

Staff can help with tourist information and also organize activities in the hostel and around Barcelona city. Luggage storage is available at the hostel.

Airport buses leave from Plaza Catalunya, which is a 10-minute walk from Urbany Hostel."
410,Yeah Barcelona Hostel,"€ 1,291",4 single beds,"Ideally located, 10 minutes’ walk from both Gaudi’s masterpieces La Pedrera and La Sagrada Familia, Yeah Barcelona Hostel offers free WiFi and 24-hour reception.

All rooms at Yeah Barcelona Hostel come with a private bathroom with shower and bed linen.

A buffet breakfast is served every morning and a dinner including a set menu, is prepared at night at the on-site kitchen. Guests can enjoy the on-site bar.

Many supermarkets are in the surrounding streets; and trendy bars, restaurants and shops can be found on the many public squares in the Gracia District, 15 minutes’ walk away. The closest metro station is Verdaguer, 500 metres away."
411,B Hotel,"€ 1,724",Beds: 1 double or 2 singles,"This design hotel is just 150 metres from Plaça Espanya and opposite Las Arenas Shopping Centre. It has an 8th-floor swimming pool and sun terrace with spectacular views of Montjuic.

The air-conditioned rooms at B Hotel are spacious and soundproofed. All rooms have free WiFi, and are decorated with contemporary art. Each room comes with an electric kettle and a pillow-menu.

The room service menu is also available at the bar and by the swimming pool.

Plaza Espanya Metro Station is within 200 metres of the hotel, while Barcelona Fira Exhibition Centre is just 250 metres away. The Magic Fountains of Montjuic are about 5 minutes’ walk away."
412,Happy People Gaudi Sant Pau Apartments,"€ 1,224","2 beds (1 double, 1 sofa bed)","Happy People Sagrada Familia Apartments offers air-conditioned apartments and studios with free WiFi. Accommodation is 5 minutes’ walk from Camp de l’Arpa Metro Station.

Both studios and apartments feature a living-dining room with air conditioning, a sofa, and a flat-screen TV, and a kitchenette including a microwave, dishwasher and fridge. Some rooms have ceiling fans. The modern bathroom has a hairdryer, and towels and bed linen are provided.

Several bars, restaurants and supermarkets can be found within 5 minutes’ walk. The property offers tours around the city, and airport shuttle service, available on request and for a surcharge.

Located in a residential area of the Eixample District, the property is 15 minutes’ walk from Sagrada Familia. You can reach Plaza Catalunya and Ramblas in 30 minutes by public transport. Sant Pau Hospital, a spectacular example of modernist architecture, can be reached in 5 minutes on foot."
413,Inside Barcelona Apartments Salva,"€ 1,475","6 beds (5 singles, 1 sofa bed)","These modern, fully-equipped apartments with free Wi-Fi are located in a quiet neighbourhood near Montjuïc Hill and the lively Poble Sec neighbourhood. Barcelona’s ferry terminal is just 5 minutes’ drive away.

There are several bars, restaurants and shops within 5 minutes’ walk of the apartments. Mercat Sant Antoni Food Market is about 10 minute’s walk away.

The apartments are about 15 minutes’ walk from the city’s famous Ramblas. Parallel Metro Station is about 5 minutes’ walk away and services line 3, which will take visitors to Plaza Catalunya and Plaza Espanya."
414,Aparthotel Mariano Cubi Barcelona,"€ 1,259",Beds: 1 double or 2 singles,"Aparthotel Mariano Cubi can be found just 200 metres from Barcelona’s Avinguda Diagonal and 15 minutes' walk from Passeig de Gracia. It offers air-conditioned rooms with free Wi-Fi and some have a kitchenette.

All spacious rooms have wooden floors, satellite TV, and a desk.

The Aparthotel Mariano Cubi's tour desk can help guests plan their stay in Barcelona. There is also a free business centre with internet access.

The area has a wide range of shops. Fontana Metro station is about 500 metres away and Gràcia FGC Station is only 150 metres away. From there you can get to Plaça Catalunya and the Ramblas. Gaudí's La Pedrera is about 20 minutes’ walk away."
415,NH Collection Barcelona Constanza,"€ 1,890",Multiple bed types,"Offering a rooftop pool and terrace,  NH Collection Barcelona Constanza has modern rooms with satellite TV. It is located next to L’Illa Shopping Centre on Diagonal Avenue, 15 minutes' walk from Sants Train Station.

The elegant, modern rooms at the Constanza feature a Nespresso machine, flat-screen TV, and pillow menu, while the bathroom includes a rain shower and a professional hairdryer. Free WiFi is included.

Guests can use the spa for an extra cost. The gym is available free of charge. Room service is available 24 hours.

The hotel's Antiox healthy buffet breakfast features antioxidant dishes made with ecological produce.

The hotel is 15 minutes’ walk from Barcelona FC’s Camp Nou Stadium. María Cristina Metro Station is 10 minutes’ walk away, connecting you with the Fira Exhibition Centre in under 10 minutes."
416,La França Travellers Adults Only,€ 910,1 extra-large double bed,"Offering free private parking and free WiFi, La França Travellers is located next to Montjiuic, 10-minute walk from Plaza de España and Fira de Barcelona. 24-hour reception is available.

This adults-only guesthouse boasts modern décor and air-conditioned rooms with a flat-screen satellite TV. All have a private bathroom with a hairdryer and free toiletries. All suites have a spa bath and some have a round bed.

Bars, restaurants and several dining options can be found in the surrounding streets.

Regular airport buses leave from a bus stop located just 500 metres away."
417,Yurbban Trafalgar Hotel,"€ 1,592",Beds: 1 double or 2 singles,"Yurbban Trafalgar Hotel features a rooftop terrace with a pool providing 360 degree panoramic views of Barcelona. The hotel is located just 300 metres from Urquinaona Metro Station.

All rooms are soundproof and air-conditioned, equipped with free WiFi and a flat-screen TV with cable channels. A safety deposit box is also available. Bathrooms has a shower and a hairdryer.

Yurbban Trafalgar Hotel also offers a gym, a bar and a restaurant. A tour desk and laundry facilities are available.

Shops, bars and restaurants can be found within metres from the hotel. Plaza Catalunya is a 10-minute walk away and Barcelona El Prat Airport is 13 km away."
