,Hotels,Prices,Descriptions,Full_Descriptions
472,Le Pitchoun,€ 744,1 double bed,"Le Pitchoun is situated in Marseille, 2.8 km from Orange Velodrome Stadium, 3 km from Rond-Point du Prado Metro Station, as well as 3.4 km from Marseille Chanot Exhibition and Convention Centre. The property is set 4.9 km from Castellane Metro Station, 5.7 km from La Timone Metro Station and 6.5 km from Notre-Dame de la Garde Basilica. Free WiFi is available throughout the property and Plage de la Vieille Chapelle is 3 km away.

The air-conditioned apartment consists of 1 bedroom, a living room, a fully equipped kitchen with an oven and a kettle, and 1 bathroom with a shower and a hair dryer. Towels and bed linen are available in the apartment. The accommodation is non-smoking.

Saint-Ferreol Street is 6.7 km from the apartment, while Vieux Port Metro station is 7.1 km from the property. The nearest airport is Marseille Provence Airport, 29 km from Le Pitchoun."
473,Studio Nissia rue Paradis,€ 500,Managed by a private host,"Set in Marseille, 2.8 km from Plage des Catalans and 2.9 km from Prophete, Studio Nissia rue Paradis offers air conditioning. The property is located 2.5 km from La Timone Metro Station, 2.5 km from Rond-Point du Prado Metro Station and 2.5 km from Marseille Chanot Exhibition and Convention Centre. The property is non-smoking and is situated 500 metres from Castellane Metro Station.

With free WiFi, this 1-bedroom apartment offers a flat-screen TV and a kitchenette with a microwave and toaster. Towels and bed linen are offered in the apartment.

Popular points of interest near the apartment include Saint-Ferreol Street, Vieux Port Metro station and Notre-Dame de la Garde Basilica. The nearest airport is Marseille Provence Airport, 24 km from Studio Nissia rue Paradis."
474,Cocoon Chic Canebière Réformés Vieux-Port Gare Saint-Charles,€ 942,Managed by a private host,"Offering free WiFi and sea views, Cocoon Chic Canebière Réformés Vieux-Port Gare Saint-Charles is an accommodation located in a central area of Marseille, just 1.1 km from Vieux Port Metro station and 800 metres from Marseille Saint-Charles Train Station. The property features city views and is 1.2 km from Saint-Ferreol Street and 1.8 km from Castellane Metro Station. The property is non-smoking and is set 2.9 km from Plage des Catalans.

The air-conditioned apartment consists of 1 bedroom, a living room, a fully equipped kitchen with a microwave and a coffee machine, and 1 bathroom with a shower and a hair dryer. A flat-screen TV is featured.

La Timone Metro Station is 1.9 km from the apartment, while Museum of European and Mediterranean Civilisations is 2.5 km away. The nearest airport is Marseille Provence Airport, 23 km from Cocoon Chic Canebière Réformés Vieux-Port Gare Saint-Charles."
475,Nice appartement with a balcony in the heart of Marseille - Welkeys,€ 853,"2 beds (1 double, 1 sofa bed)","In the heart of Marseille, set within a short distance of Saint-Ferreol Street and Castellane Metro Station, Nice appartement with a balcony in the heart of Marseille - Welkeys offers free WiFi, air conditioning and household amenities such as a dishwasher and coffee machine. The property is located 2.4 km from Museum of European and Mediterranean Civilisations, 2.4 km from La Timone Metro Station and 2.8 km from Les Terrasses du Port Shopping Centre. The property is non-smoking and is situated 2.4 km from Plage des Catalans.

The apartment is fitted with 1 bedroom, 1 bathroom, bed linen, towels, a TV with satellite channels, a dining area, a fully equipped kitchen, and a balcony with city views.

Popular points of interest near the apartment include Vieux Port Metro station, Marseille Saint-Charles Train Station and Joliette Metro Station. The nearest airport is Marseille Provence Airport, 22 km from Nice appartement with a balcony in the heart of Marseille - Welkeys."
476,Studio industriel de Steenia Vieux port,€ 745,1 double bed,"Situated in Marseille, 2.9 km from Fausse Monnaie and 200 metres from Vieux Port Metro station, Studio industriel de Steenia Vieux port provides accommodation with amenities such as free WiFi and a flat-screen TV. The property is located 1.5 km from Castellane Metro Station, 1.9 km from Les Terrasses du Port Shopping Centre and 1.8 km from Palais du Pharo. The property is 1.9 km from Plage des Catalans, and within 400 metres of the city centre.

The air-conditioned apartment is composed of 1 separate bedroom, a fully equipped kitchen, and 1 bathroom. The accommodation is non-smoking.

Popular points of interest near the apartment include Saint-Ferreol Street, Museum of European and Mediterranean Civilisations and Joliette Metro Station. The nearest airport is Marseille Provence Airport, 22 km from Studio industriel de Steenia Vieux port."
477,Bel appart climatisé à 5 min plage des Catalans,"€ 1,093",2 double beds,"Right in the centre of Marseille, situated within a short distance of Plage des Catalans and Fausse Monnaie, Bel appart climatisé à 5 min plage des Catalans offers free WiFi, air conditioning and household amenities such as a microwave and coffee machine. This apartment features accommodation with a balcony. Outdoor dining is also possible at the apartment.

This apartment has 2 bedrooms, a kitchen with a dishwasher and an oven, a flat-screen TV, a seating area and 1 bathroom fitted with a shower. Towels and bed linen are offered in the apartment. This apartment is non-smoking and soundproof.

Popular points of interest near Bel appart climatisé à 5 min plage des Catalans include Plage de Maldorme, Palais du Pharo and Saint-Ferreol Street. The nearest airport is Marseille Provence Airport, 23 km from the accommodation."
478,Havre de Paix la joliette : Urban modern cosy chic,€ 526,Managed by a private host,"Situated 2.9 km from Plage des Catalans and 400 metres from Joliette Metro Station in the centre of Marseille, Havre de Paix la joliette: Urban modern cosy chic features accommodation with free WiFi and free private parking. This apartment provides accommodation with a terrace. The property is non-smoking and is located 1.1 km from Vieux Port Metro station.

The apartment is composed of 1 bedroom, a fully equipped kitchen, and 1 bathroom. A flat-screen TV is available.

Popular points of interest near the apartment include Les Terrasses du Port Shopping Centre, Museum of European and Mediterranean Civilisations and Saint-Ferreol Street. The nearest airport is Marseille Provence Airport, 21 km from Havre de Paix la joliette: Urban modern cosy chic."
479,Les Ô du Panier,€ 886,Managed by a private host,"Situated in Marseille in the Provence-Alpes-Côte d'Azur Region, in Le Panier district, Les Ô boasts a sun terrace. It is 250 metres from Cathedral La Major and 650 metres from the Old Port of Marseille and the Mucem Museum.

A flat-screen TV is provided, and the apartment includes a seating area for your convenience. You will find a coffee machine on site and free WiFi.

Les Catalans beach is located 3 km away. The nearest airport is Marseille Provence Airport, 20 km from Les Ô. A private car park, paying 54 euros/week, at 2 minutes walk, non partner, always from the square 12, Rue Jean-Marc Cathala 2nd arrd."
480,"Appartement Marseille-6e Arrondissement, 3 pièces, 6 personnes - FR-1-774-1","€ 1,388",,"Offering garden views, Appartement Marseille-6e Arrondissement, 3 pièces, 6 personnes - FR-1-774-1 is an accommodation located in Marseille, 1.5 km from Saint-Ferreol Street and 2.2 km from Vieux Port Metro station. The air-conditioned accommodation is 700 metres from Castellane Metro Station, and guests can benefit from private parking available on site and free WiFi. The property is non-smoking and is set 1.1 km from La Timone Metro Station.

The spacious apartment has 2 bedrooms, a TV, a fully equipped kitchen with a dishwasher and a microwave, a washing machine, and 1 bathroom with a bath. For added privacy, the accommodation features a private entrance.

Rond-Point du Prado Metro Station is 2.4 km from the apartment, while Orange Velodrome Stadium is 2.5 km from the property. The nearest airport is Marseille Provence Airport, 24 km from Appartement Marseille-6e Arrondissement, 3 pièces, 6 personnes - FR-1-774-1."
481,Studio avec terrasse - Vieux Port & Cours Julien,€ 835,Managed by a private host,"In the centre of Marseille, Studio avec terrasse - Vieux Port & Cours Julien features city views from the terrace. The air-conditioned accommodation is 2.2 km from Plage des Catalans. The property is non-smoking and is located 300 metres from Saint-Ferreol Street.

With free WiFi, this apartment provides a TV, a washing machine and a fully equipped kitchen with an oven and microwave. Towels and bed linen are provided in the apartment.

Popular points of interest near the apartment include Castellane Metro Station, Vieux Port Metro station and Marseille Saint-Charles Train Station. The nearest airport is Marseille Provence Airport, 23 km from Studio avec terrasse - Vieux Port & Cours Julien."
482,Appartement design et minimaliste prado castellane,"€ 1,437",Managed by a private host,"Situated in Marseille, 3 km from Prophete and 500 metres from Castellane Metro Station, Appartement design et minimaliste prado castellane offers free WiFi and air conditioning. The property has garden and city views, and is 1.5 km from Marseille Chanot Exhibition and Convention Centre. The property is non-smoking and is located 1.4 km from Rond-Point du Prado Metro Station.

The 2-bedroom apartment has a living room with a flat-screen TV with streaming services, a fully equipped kitchen with a dishwasher and an oven, and 1 bathroom with a hair dryer. Towels and bed linen are offered in the apartment. At the apartment, there is a dressing room for guests to change in.

Popular points of interest near Appartement design et minimaliste prado castellane include Orange Velodrome Stadium, Saint-Ferreol Street and La Timone Metro Station. The nearest airport is Marseille Provence Airport, 24 km from the accommodation."
483,SIROCCO - Bel appartement avec extérieur proche des plages,€ 857,1 large double bed,"SIROCCO - Bel appartement avec extérieur proche des plages features a terrace and is located in Marseille, within just 700 metres of Plage de la Vieille Chapelle and 1.2 km of Bonneveine. It is set 1.6 km from Borely and provides a lift. Free WiFi is available throughout the property and Plage de la Pointe Rouge is 400 metres away.

The 1-bedroom apartment is equipped with a living room with a TV, a fully equipped kitchen with a dishwasher and an oven, and 1 bathroom with a hair dryer. Towels and bed linen are provided in the apartment. The accommodation is non-smoking.

Orange Velodrome Stadium is 4.1 km from the apartment, while Rond-Point du Prado Metro Station is 4.3 km away. The nearest airport is Marseille Provence Airport, 30 km from SIROCCO - Bel appartement avec extérieur proche des plages."
484,FLC - Cannebière-Large Terace-Clim- 4 guests,€ 646,"3 beds (2 singles, 1 large double)","Featuring city views, FLC - Cannebière-Large Terace-Clim- 4 guests provides accommodation with a terrace, around 600 metres from Marseille Saint-Charles Train Station. Guests staying at this apartment have access to a balcony. The property is non-smoking and is set 2 km from Joliette Metro Station.

With free WiFi, this 1-bedroom apartment offers a flat-screen TV, a washing machine and a fully equipped kitchen with an oven and microwave. The air-conditioned unit at the property features a walk-in shower and a dressing room. The property has an outdoor dining area.

Saint-Ferreol Street is 1.4 km from the apartment, while Castellane Metro Station is 2.5 km away. The nearest airport is Marseille Provence Airport, 23 km from FLC - Cannebière-Large Terace-Clim- 4 guests."
485,Le Rome - Grand 3 ch 6 pers proche Vieux-Port,"€ 2,162",Managed by a private host,"Offering city views, Le Rome - Grand 3 ch 6 pers proche Vieux-Port is an accommodation situated in Marseille, 200 metres from Saint-Ferreol Street and 800 metres from Vieux Port Metro station. The property is around 2.4 km from Museum of European and Mediterranean Civilisations, 2.4 km from Joliette Metro Station and 2.6 km from Les Terrasses du Port Shopping Centre. Free WiFi is available throughout the property and Plage des Catalans is 2.4 km away.

The spacious apartment has 3 bedrooms, a TV with satellite channels, a fully equipped kitchen with an oven and a toaster, a washing machine, and 1 bathroom with a bath. Towels and bed linen are offered in the apartment. The accommodation is non-smoking.

Popular points of interest near the apartment include Castellane Metro Station, Marseille Saint-Charles Train Station and Notre-Dame de la Garde Basilica. The nearest airport is Marseille Provence Airport, 23 km from Le Rome - Grand 3 ch 6 pers proche Vieux-Port."
486,Chez Serge,€ 657,Managed by a private host,"In the Le Panier district of Marseille, close to Joliette Metro Station, Chez Serge features free WiFi and a washing machine. The property is set 1.4 km from Saint-Ferreol Street, 1.3 km from Marseille Saint-Charles Train Station and 3.7 km from Palais du Pharo. The property is less than 1 km from the city centre and 2.3 km from Plage des Catalans.

The apartment is composed of 1 bedroom, a fully equipped kitchen, and 1 bathroom. A flat-screen TV is featured. The accommodation is non-smoking.

Popular points of interest near the apartment include Vieux Port Metro station, Les Terrasses du Port Shopping Centre and Museum of European and Mediterranean Civilisations. The nearest airport is Marseille Provence Airport, 21 km from Chez Serge."
487,Very Nice 58m Close To The Old Port,"€ 1,352","3 beds (2 doubles, 1 sofa bed)","In the Vieux Port - La Canebière district of Marseille, close to Vieux Port Metro station, Very Nice 58m Close To The Old Port has free WiFi and a washing machine. The property features city views and is 2.8 km from Fausse Monnaie and 600 metres from Saint-Ferreol Street. The property is 1.7 km from Plage des Catalans, and within 200 metres of the city centre.

The air-conditioned apartment consists of 2 bedrooms, a living room, a fully equipped kitchen with a dishwasher and a coffee machine, and 1 bathroom with an a bath or shower and a hair dryer. Towels and bed linen are available in the apartment.

Popular points of interest near the apartment include Castellane Metro Station, Museum of European and Mediterranean Civilisations and Joliette Metro Station. The nearest airport is Marseille Provence Airport, 22 km from Very Nice 58m Close To The Old Port."
488,Appartement tout équipe Vieux Port 4 couchages,€ 693,Managed by a private host,"Appartement tout équipe Vieux Port 4 couchages is set in the Vieux Port - La Canebière district of Marseille, 800 metres from Vieux Port Metro station, 1.3 km from Les Terrasses du Port Shopping Centre and 1.1 km from Joliette Metro Station. It is located 700 metres from Museum of European and Mediterranean Civilisations and offers a lift. The property is 2.1 km from Plage des Catalans, and within 700 metres of the city centre.

With free WiFi, this 1-bedroom apartment provides a cable flat-screen TV, a washing machine and a fully equipped kitchen with a microwave and fridge. Towels and bed linen are provided in the apartment. For added privacy, the accommodation features a private entrance.

Saint-Ferreol Street is 1.5 km from the apartment, while Marseille Saint-Charles Train Station is 1.7 km away. The nearest airport is Marseille Provence Airport, 22 km from Appartement tout équipe Vieux Port 4 couchages."
489,Appartement Vieux-Port/ 2 min du métro Estrangin,€ 535,Managed by a private host,"Located in Marseille, Appartement Vieux-Port/ 2 min du métro Estrangin provides city views and free WiFi, 200 metres from Saint-Ferreol Street and 600 metres from Vieux Port Metro station. The property is around 2.2 km from Palais du Pharo, 2.8 km from La Timone Metro Station and 2.8 km from Joliette Metro Station. The property is 2.3 km from Plage des Catalans, and within 400 metres of the city centre.

The 1-bedroom apartment comes with a living room with a flat-screen TV, a fully equipped kitchen with a microwave and a toaster, and 1 bathroom with a hair dryer. Towels and bed linen are featured in the apartment. For added privacy, the accommodation features a private entrance.

Popular points of interest near the apartment include Castellane Metro Station, Notre-Dame de la Garde Basilica and Museum of European and Mediterranean Civilisations. The nearest airport is Marseille Provence Airport, 23 km from Appartement Vieux-Port/ 2 min du métro Estrangin."
490,Luxury Apartment Joliette,"€ 1,509",Managed by a private host,"Set in Marseille, less than 1 km from Museum of European and Mediterranean Civilisations and a 5-minute walk from Les Terrasses du Port Shopping Centre, Luxury Apartment Joliette offers air conditioning. It is situated 400 metres from Joliette Metro Station and offers a lift. Free WiFi is available throughout the property and Plage des Catalans is 2.7 km away.

The spacious apartment is fitted with 2 bedrooms, a flat-screen TV and a fully equipped kitchen that provides guests with a dishwasher, an oven, a washing machine, a microwave and a fridge. Towels and bed linen are offered in the apartment. The accommodation is non-smoking.

Vieux Port Metro station is 1.5 km from the apartment, while Palais du Pharo is 2.5 km from the property. The nearest airport is Marseille Provence Airport, 22 km from Luxury Apartment Joliette."
491,Le Minot,€ 823,1 double bed,"Set in Marseille, 600 metres from Museum of European and Mediterranean Civilisations, less than 1 km from Vieux Port Metro station and a 18-minute walk from Les Terrasses du Port Shopping Centre, Le Minot offers accommodation with a balcony and free WiFi. Boasting a terrace, the apartment is close to several noted attractions, around 1.3 km from Joliette Metro Station, 1.6 km from Saint-Ferreol Street and 1.9 km from Marseille Saint-Charles Train Station. The property is 800 metres from the city centre and 2.2 km from Plage des Catalans.

This apartment is fitted with 1 bedroom, a kitchen with an oven and a microwave, a flat-screen TV, a seating area and 1 bathroom. Towels and bed linen are offered in the apartment. The accommodation is non-smoking.

Castellane Metro Station is 2.8 km from the apartment, while Palais du Pharo is 3.6 km from the property. The nearest airport is Marseille Provence Airport, 22 km from Le Minot."
492,2 bedroom apartment in the heart of Marseille,€ 768,Managed by a private host,"Located in Marseille, near Vieux Port Metro station, Saint-Ferreol Street and Castellane Metro Station, 2 bedroom apartment in the heart of Marseille features free WiFi. The property is around 3 km from La Timone Metro Station, 1.9 km from Les Terrasses du Port Shopping Centre and 1.9 km from Notre-Dame de la Garde Basilica. The property is 700 metres from the city centre and 2.2 km from Plage des Catalans.

The spacious apartment comes with 2 bedrooms, a flat-screen TV with cable channels and a fully equipped kitchen that provides guests with a dishwasher, an oven, a washing machine, a microwave and a fridge. Towels and bed linen are featured in the apartment. For added privacy, the accommodation features a private entrance.

Popular points of interest near the apartment include Marseille Saint-Charles Train Station, Museum of European and Mediterranean Civilisations and Joliette Metro Station. The nearest airport is Marseille Provence Airport, 22 km from 2 bedroom apartment in the heart of Marseille."
493,Appartement 5 couchages Gare St Charles/Joliette,€ 548,Managed by a private host,"Appartement 5 couchages Gare St Charles/Joliette is set in the Euromed - La Joliette district of Marseille, less than 1 km from Joliette Metro Station, a 12-minute walk from Les Terrasses du Port Shopping Centre and less than 1 km from Marseille Saint-Charles Train Station. The property is around 3 km from Castellane Metro Station, 3.6 km from Palais du Pharo and 4 km from La Timone Metro Station. Free WiFi is available throughout the property and Plage des Catalans is 2.9 km away.

The apartment is composed of 1 bedroom, a living room, a fully equipped kitchen, and 1 bathroom. The accommodation is non-smoking.

Popular points of interest near the apartment include Vieux Port Metro station, Museum of European and Mediterranean Civilisations and Saint-Ferreol Street. The nearest airport is Marseille Provence Airport, 21 km from Appartement 5 couchages Gare St Charles/Joliette."
494,"Proche du Vieux-Port, avec balcon",€ 763,Managed by a private host,"Boasting air-conditioned accommodation with a balcony, Proche du Vieux-Port, avec balcon is situated in Marseille. The property is close to Marseille Saint-Charles Train Station, Museum of European and Mediterranean Civilisations and Joliette Metro Station. The property is 2.3 km from Plage des Catalans, and within 700 metres of the city centre.

With free WiFi, this 1-bedroom apartment features a flat-screen TV, a washing machine and a fully equipped kitchen with an oven and microwave. Towels and bed linen are available in the apartment. The accommodation is non-smoking.

Dining options are available close to the apartment.

Popular points of interest near Proche du Vieux-Port, avec balcon include Vieux Port Metro station, Saint-Ferreol Street and Castellane Metro Station. The nearest airport is Marseille Provence Airport, 22 km from the accommodation."
495,LaFrenchCasa La Plaine,€ 532,Managed by a private host,"Set 1.2 km from Castellane Metro Station, LaFrenchCasa La Plaine offers a terrace, and accommodation with a balcony and free WiFi. The property is around 1.4 km from Marseille Saint-Charles Train Station, 3.2 km from Notre-Dame de la Garde Basilica and 3.4 km from Palais du Pharo. Museum of European and Mediterranean Civilisations is 3.4 km away and Joliette Metro Station is 3.5 km from the apartment.

Each unit is fitted with air conditioning, a private bathroom and a well-fitted kitchen including an oven, microwave, toaster and a fridge.

Popular points of interest near the apartment include Saint-Ferreol Street, La Timone Metro Station and Vieux Port Metro station. The nearest airport is Marseille Provence Airport, 24 km from LaFrenchCasa La Plaine."
496,Le Lacydon - proche MUCEM,€ 754,"2 beds (1 double, 1 sofa bed)","Le Lacydon - proche MUCEM is set in the Vieux Port - La Canebière district of Marseille, less than 1 km from Vieux Port Metro station, a 15-minute walk from Les Terrasses du Port Shopping Centre and 1.1 km from Joliette Metro Station. It is located 700 metres from Museum of European and Mediterranean Civilisations and provides free WiFi plus a lift. The property is 2.1 km from Plage des Catalans, and within 700 metres of the city centre.

The 1-bedroom apartment comes with a living room with a flat-screen TV, a fully equipped kitchen with an oven and microwave, and 1 bathroom with bath. Towels and bed linen are featured in the apartment. The accommodation is non-smoking.

Saint-Ferreol Street is 1.5 km from the apartment, while Marseille Saint-Charles Train Station is 1.7 km away. The nearest airport is Marseille Provence Airport, 22 km from Le Lacydon - proche MUCEM."
497,Le Chave - Appart 1 ch terrasse et climatisation,€ 867,Managed by a private host,"Set in Marseille, 1.6 km from Castellane Metro Station and 1.5 km from Saint-Ferreol Street, Le Chave - Appart 1 ch terrasse et climatisation offers air conditioning. The property is around 1.8 km from Vieux Port Metro station, 1.6 km from Marseille Saint-Charles Train Station and 3.7 km from Museum of European and Mediterranean Civilisations. Free WiFi is available throughout the property and La Timone Metro Station is 1.1 km away.

The apartment is fitted with 1 bedroom, 1 bathroom, bed linen, towels, a TV, a dining area, a fully equipped kitchen, and a terrace with city views. The accommodation is non-smoking.

Marseille Chanot Exhibition and Convention Centre is 3.7 km from the apartment, while Joliette Metro Station is 3.8 km away. The nearest airport is Marseille Provence Airport, 24 km from Le Chave - Appart 1 ch terrasse et climatisation."
498,Superbe appartement à 50m de la plage,"€ 1,602",Managed by a private host,"Superbe appartement à 50m de la plage is situated in Marseille, 1.2 km from Castellane Metro Station, 1.1 km from Vieux Port Metro station, as well as 1.7 km from La Timone Metro Station. The air-conditioned accommodation is 2.9 km from Plage des Catalans, and guests can benefit from private parking available on site and free WiFi. The property is non-smoking and is located 700 metres from Saint-Ferreol Street.

The apartment is equipped with 1 bedroom, 1 bathroom, bed linen, towels, a flat-screen TV, a fully equipped kitchen, and a terrace with garden views.

Marseille Saint-Charles Train Station is 1.4 km from the apartment, while Notre-Dame de la Garde Basilica is 3.2 km away. The nearest airport is Marseille Provence Airport, 24 km from Superbe appartement à 50m de la plage."
499,Nau,€ 655,1 double bed,"Situated in Marseille, 1.2 km from La Timone Metro Station and 1.1 km from Saint-Ferreol Street, Nau offers air conditioning. The property is around 1.6 km from Vieux Port Metro station, 1.6 km from Marseille Saint-Charles Train Station and 3.2 km from Rond-Point du Prado Metro Station. Free WiFi is available throughout the property and Castellane Metro Station is 1.1 km away.

The apartment features 1 bedroom, 1 bathroom, bed linen, towels, a flat-screen TV, a fully equipped kitchen, and a balcony with city views. For added privacy, the accommodation features a private entrance.

Notre-Dame de la Garde Basilica is 3.3 km from the apartment, while Museum of European and Mediterranean Civilisations is 3.5 km from the property. The nearest airport is Marseille Provence Airport, 24 km from Nau."
500,"Appart entier avec 1 chambre, 4 personnes max+ internet(FIBRE) / Entire Flat with 1 bedroom, for 4 people max + internet (FIBER OPTIC)",€ 750,Managed by a private host,"Appart entier avec 1 chambre, 4 personnes max+ internet(FIBRE) / Entire Flat with 1 bedroom, for 4 people max + internet (FIBER OPTIC) is situated in the Euromed - La Joliette district of Marseille, 1.1 km from Vieux Port Metro station, 700 metres from Les Terrasses du Port Shopping Centre and 1.2 km from Museum of European and Mediterranean Civilisations. It is located 500 metres from Joliette Metro Station and provides free WiFi plus a lift. The property is 2.8 km from Plage des Catalans, and within 1.2 km of the city centre.

This apartment includes 1 bedroom, a living room and a flat-screen TV, an equipped kitchen with a dining area, and 1 bathroom with a shower and a washing machine. Towels and bed linen are provided in the apartment. The accommodation is non-smoking.

Saint-Ferreol Street is 1.7 km from the apartment, while Marseille Saint-Charles Train Station is 1.3 km away. The nearest airport is Marseille Provence Airport, 21 km from Appart entier avec 1 chambre, 4 personnes max+ internet(FIBRE) / Entire Flat with 1 bedroom, for 4 people max + internet (FIBER OPTIC)."
501,Beautiful appartement Marseille 2P,€ 963,1 double bed,"Beautiful appartement Marseille 2P is located in Marseille, 1.1 km from Castellane Metro Station, 800 metres from Saint-Ferreol Street, and 1.4 km from La Timone Metro Station. The property is around 1.3 km from Vieux Port Metro station, 1.5 km from Marseille Saint-Charles Train Station and 3.2 km from Notre-Dame de la Garde Basilica. Free WiFi is available throughout the property and Plage des Catalans is 3 km away.

The apartment comes with 1 bedroom, a fully equipped kitchen with a fridge, and 1 bathroom. Towels and bed linen are featured in the apartment. The accommodation is non-smoking.

Palais du Pharo is 3.4 km from the apartment, while Museum of European and Mediterranean Civilisations is 3.4 km away. The nearest airport is Marseille Provence Airport, 24 km from Beautiful appartement Marseille 2P."
502,Hôtel 96,€ 921,1 large double bed,"Hôtel 96 is set in a 19th-century house with a garden and an outdoor swimming pool, located on the outskirts of Marseille and a 5-minute drive from the beach. It offers spacious rooms with modern décors and free Wi-Fi access. Guests can relax in the on-site sauna or enjoy a massage.

Each room is equipped with a flat-screen TV with satellite channels, an iPod docking station, a minibar and a safety deposit box. Every room also has an en suite bathroom with a bathtub or walk-in shower. A continental breakfast is served daily and includes French pastries, fresh orange juice homemade cakes and jams.

The property provides free private parking on site. Hôtel 96 is situated on the edge of the Calanques National Park.

The centre of Marseille and Saint Charles Train Station are a 25-minute drive away or 40-minutes by public transport. Guests can take either Bus line 22 or 23  from Metro 2 stop Rond Point du Prado"
503,"Appartement de charme, vue sur le vieux port","€ 1,419",Managed by a private host,"In the Vieux Port - La Canebière district of Marseille, close to Vieux Port Metro station, Appartement de charme, vue sur le vieux port features free WiFi and a washing machine. The property is close to Joliette Metro Station, Les Terrasses du Port Shopping Centre and Palais du Pharo. The property is 200 metres from the city centre and 1.7 km from Plage des Catalans.

The spacious apartment is composed of 3 bedrooms, a living room, a fully equipped kitchen, and 2 bathrooms. A flat-screen TV is featured. The accommodation is non-smoking.

Dining options are available close to the apartment.

Popular points of interest near Appartement de charme, vue sur le vieux port include Saint-Ferreol Street, Castellane Metro Station and Museum of European and Mediterranean Civilisations. The nearest airport is Marseille Provence Airport, 22 km from the accommodation."
504,Le Pytheas Vieux Port Marseille,"€ 1,206",Managed by a private host,"Le Pytheas Vieux Port Marseille is a self-catering accommodation located in Marseille. This property is air conditioned and close to the public transport lines and a number of shops, restaurants and cafes can be found nearby.  Guests have access to free WiFi.

The apartment includes a dining area, a seating area and a TV with cable channels. There is a fully-equipped kitchen with a dishwasher, an oven and a microwave. The private bathroom comes with either a bath or shower, a hairdryer and a bidet.

Activities in the local area include cycling, diving and windsurfing. If you feel like visiting the surroundings, Palais du Pharo is a 20-minute walk from the property.

Le Pytheas Vieux Port Marseille is situated 27 km from Marseille Provence Airport."
505,Appartement confortable près de la plage Catalane et Pharo,€ 688,Managed by a private host,"Situated in Marseille, 1.5 km from Fausse Monnaie and 1.7 km from Plage de Maldorme, Appartement confortable près de la plage Catalane et Pharo offers air conditioning. The property has city views and is less than 1 km from Palais du Pharo and 1.9 km from Saint-Ferreol Street. Free WiFi is available throughout the property and Plage des Catalans is 100 metres away.

The apartment features 1 bedroom, 1 bathroom, bed linen, towels, a flat-screen TV with satellite channels, a dining area, a fully equipped kitchen, and a balcony with sea views. The accommodation is non-smoking.

Vieux Port Metro station is 2 km from the apartment, while Notre-Dame de la Garde Basilica is 1.9 km from the property. The nearest airport is Marseille Provence Airport, 23 km from Appartement confortable près de la plage Catalane et Pharo."
506,Apartment with balcony and air conditioning in Marseille - Welkeys,"€ 1,013","2 beds (1 sofa bed, 1 large double)","Apartment with balcony and air conditioning in Marseille - Welkeys is set in the Baille-La Timone district of Marseille, 1.1 km from Castellane Metro Station, 1.7 km from Rond-Point du Prado Metro Station and 1.9 km from Orange Velodrome Stadium. This property offers access to a balcony, free private parking and free WiFi. The property is non-smoking and is situated 1.2 km from La Timone Metro Station.

The air-conditioned apartment consists of 1 bedroom, a living room, a fully equipped kitchen with a dishwasher and a coffee machine, and 1 bathroom with a bath and a hair dryer. Towels and bed linen are available in the apartment.

Saint-Ferreol Street is 2.4 km from the apartment, while Marseille Chanot Exhibition and Convention Centre is 1.6 km from the property. The nearest airport is Marseille Provence Airport, 24 km from Apartment with balcony and air conditioning in Marseille - Welkeys."
507,Le Marengo -Superbe T4 Hyper Centre,"€ 1,191","4 beds (2 singles, 2 doubles)","Offering garden views, Le Marengo -Superbe T4 Hyper Centre is an accommodation situated in Marseille, less than 1 km from Saint-Ferreol Street and a 17-minute walk from Vieux Port Metro station. This property offers access to a balcony, free private parking and free WiFi. The property is non-smoking and is set 500 metres from Castellane Metro Station.

The spacious apartment includes 3 bedrooms, a fully equipped kitchen with a microwave and a toaster, as well as a coffee machine. Towels and bed linen are featured in the apartment. At the apartment, there is a dressing room for guests to change in.

La Timone Metro Station is 1.6 km from Le Marengo -Superbe T4 Hyper Centre, while Notre-Dame de la Garde Basilica is 2.2 km away. The nearest airport is Marseille Provence Airport, 23 km from the accommodation."
508,Le Roque - Hyper centre Marseille Vieux-Port,€ 653,Managed by a private host,"In the Vieux Port - La Canebière district of Marseille, close to Saint-Ferreol Street, Le Roque - Hyper centre Marseille Vieux-Port has free WiFi and a washing machine. The property features city views and is 1.2 km from Castellane Metro Station and 700 metres from Vieux Port Metro station. The property is 800 metres from the city centre and 2.4 km from Plage des Catalans.

The 1-bedroom apartment features a living room with a TV with satellite channels, a fully equipped kitchen with an oven and a microwave, and 1 bathroom with free toiletries. Towels and bed linen are available in the apartment. The accommodation is non-smoking.

Popular points of interest near the apartment include Marseille Saint-Charles Train Station, La Timone Metro Station and Joliette Metro Station. The nearest airport is Marseille Provence Airport, 22 km from Le Roque - Hyper centre Marseille Vieux-Port."
